jobName,jobLink,feedBack,comLink,comName,salary,place,releaseDate,detail
http://jobs.zhaopin.com/238187833250235.htm,架构师（供应链方向）,,http://company.zhaopin.com/CC238187833.htm,南京领添信息技术有限公司,20001-30000,南京,07-03,地点：南京公司性质：合资公司规模：500-999人经验：5-10年学历：本科职位月薪：20001-30000元/月 岗位职责：  1.根据公司业务方向和业务模式进行整体业务架构设计，包括需求分析、模块设计、系统结构设计、数据建模、关键功能的开发、技术难题的解决  2.对当前正在使用的架构能够做出合理的判断，指导做出改进  3.参与各项标准的制定以及监督  4.跟踪前沿技术，评估并引入适用的新技术     任职要...
http://jobs.zhaopin.com/238187833250234.htm,项目经理,,http://company.zhaopin.com/CC238187833.htm,南京领添信息技术有限公司,12000-15000,南京,07-03,地点：南京公司性质：合资公司规模：500-999人经验：3-5年学历：本科职位月薪：12000-15000元/月 岗位职责：  1、 负责公司的电商、供应链系统后台模块的需求管理和整个项目管理工作，资源协调；  2、 对项目生命周期进行管理，负责建立项目计划、执行与跟踪管理，降低项目风险；  3、 参与项目的需求与方案设计与讨论，参与过程改进和持续优化，输出项目管理纪要；  4、 建立清晰、透明、高效的沟通机...
http://jobs.zhaopin.com/238187833250132.htm,架构师,,http://company.zhaopin.com/CC238187833.htm,南京领添信息技术有限公司,20000-30000,南京-雨花台区,07-03,地点：南京-雨花台区公司性质：合资公司规模：500-999人经验：5-10年学历：不限职位月薪：20000-30000元/月 作为国内最大的跨境B2C互联网领军企业，领添致力于发现时尚，向外国人传递国人的时尚观念，用户主要集中在北美、欧洲。经过几年的高速发展，网站单日访问高峰已将近1000万PV，注册用户1000W+，营收10亿级。在南京，优秀的互联网开发团队数量很少，像领添这样重视技术价值的公司将是一个很好的平台，期望...
http://jobs.zhaopin.com/238187833250225.htm,数据仓库开发工程师,,http://company.zhaopin.com/CC238187833.htm,南京领添信息技术有限公司,10001-15000,南京,07-03,地点：南京公司性质：合资公司规模：500-999人经验：1-3年学历：本科职位月薪：10001-15000元/月 岗位职责：  1. 负责大数据处理和分析系统、数据仓库的设计和开发。  2. 负责大数据平台数据集成、数据产品的设计和开发。  3. 负责和业务方沟通，通过数据驱动来解决业务问题。  任职要求：  1.熟悉数据仓库理论，熟悉维度建模，至少有2年以上大型数据仓库开发经验。  2.精通sql的编写和优...
http://jobs.zhaopin.com/281777335250042.htm,数据库工程师,,http://company.zhaopin.com/CC281777335.htm,南京唯实科技有限公司,8000-15000,南京-建邺区,15天前,地点：南京-建邺区公司性质：民营公司规模：100-499人经验：1-3年学历：本科职位月薪：8000-15000元/月...Python开发，有JAVA开发经验者优先  4、熟悉Linux系统，熟悉shell脚本开发  5、工作责任心强，有良好的编程和文档管理能力，有良好的团队合作精神，能承受较大的工作压力  6、能适应短期出差
http://jobs.zhaopin.com/307375987250025.htm,Hadoop高级工程师,,http://company.zhaopin.com/CC307375987.htm,数联道(北京)科技有限公司,10001-15000,南京,15天前,地点：南京公司性质：股份制企业公司规模：100-499人经验：1-3年学历：大专职位月薪：10001-15000元/月 岗位职责：  1、负责公司的大数据处理框架的研发设计工作；  2、基于Hadoop开发以及调优工作；  3、负责Hadoop集群的开发、优化、维护；  4、根据业务需要为数据仓库的实现提供支持。  岗位要求：  1、本科以上计算机相关专业学历，3年以上工作经验，精通JAVA；  2、精通Hadoo...
http://jobs.zhaopin.com/143646990250590.htm,测试工程师【CTT01】,,http://company.zhaopin.com/%E8%81%94%E8%BF%AA%E6%81%92%E6%98%9F%28%E5%8D%97%E4%BA%AC%29%E4%BF%A1%E6%81%AF%E7%B3%BB%E7%BB%9F%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC143646990.htm,南京联迪信息系统股份有限公司,10001-15000,南京-建邺区,15天前,地点：南京-建邺区公司性质：民营公司规模：1000-9999人经验：3-5年学历：本科职位月薪：10001-15000元/月 任职要求：   1、有4年以上测试经验，熟悉软件测试理论基础知识，熟悉软件测试流程和常用工具；  2、掌握一种开发语言（Java 、 python、其他脚本语言），熟练掌握应用sql、了解版本控制、测试环境搭建。  3、有撰写自动化测试工具以及搭建自动化测试平台的实战经验者优先，有自动化测试经验，...
http://jobs.zhaopin.com/136365710250203.htm,Python后端研发工程师,,http://special.zhaopin.com/pagepublish/13636571/index.html,南京厚建软件有限责任公司,8001-10000,南京,15天前,地点：南京公司性质：民营公司规模：100-499人经验：1-3年学历：本科职位月薪：8001-10000元/月 岗位职责：  1. 负责基于django的后台系统的研发  2. 负责承担版本的系统设计，性能和调优工作  3. 规范文档的编写，维护以及其他和项目相关的研发工作     任职要求：  1. 一年以上的Python开发相关经验  2. 熟练使用python，熟悉Django，能使用D...
http://jobs.zhaopin.com/136365710250208.htm,研发经理,,http://special.zhaopin.com/pagepublish/13636571/index.html,南京厚建软件有限责任公司,10001-15000,南京,15天前,地点：南京公司性质：民营公司规模：100-499人经验：3-5年学历：本科职位月薪：10001-15000元/月 岗位职责：  1、深入发掘和分析业务需求，撰写技术方案和系统设计  2、核心代码编写、指导和培训工程师、不断进行系统优化  3、领导跨团队的研发项目     任职要求：  1、精通至少一门开发语言（PHP/Python/OC/Swift/Java/C/C++/Go）；  2、三年以上相关领域（前端...
http://jobs.zhaopin.com/308798835250037.htm,测试工程师（3年以上）,,http://company.zhaopin.com/CC308798835.htm,江苏瑞银电子商务有限公司,8001-10000,南京,15天前,"地点：南京公司性质：民营公司规模：500-999人经验：3-5年学历：本科职位月薪：8001-10000元/月 岗位职责      1.根据工作安排，负责公司软件测试与产品质量保证工作，管理测试团队；         2.制定项目的测试计划，评估测试范围，保证产品测试工作的计划性与规范性；          3.负责带领测试团队，设计、执行、优化测试过程,丰富测试手段，引入新的测试框架和测试策略；     ..."
